complaint_id,head,relation,tail
JZ2021030400772,complaint:JZ2021030400772,包含后果,outcome:影响环境
JZ2021030400772,entity:停车位,易感于,hidden:少
JZ2021030400772,hidden:少,导致,risk:影响日常生活
JZ2021030400772,event:空白,触发风险,risk:影响日常生活
JZ2021030400772,risk:影响日常生活,导致,outcome:影响环境
JZ2021030200706,complaint:JZ2021030200706,包含隐患,hidden:堆货
JZ2021030200706,complaint:JZ2021030200706,包含事件,event:空白
JZ2021030200706,complaint:JZ2021030200706,包含风险,risk:影响出行
JZ2021030200706,complaint:JZ2021030200706,包含后果,outcome:影响居民出行
JZ2021030200706,hidden:堆货,导致,risk:影响出行
JZ2021030200706,event:空白,触发风险,risk:影响出行
JZ2021030200706,risk:影响出行,导致,outcome:影响居民出行
JZ2021030200675,complaint:JZ2021030200675,包含实体,entity:停车位
JZ2021030200675,complaint:JZ2021030200675,包含隐患,hidden:停车位少
JZ2021030200675,complaint:JZ2021030200675,包含事件,event:空白
JZ2021030200675,complaint:JZ2021030200675,包含风险,risk:影响日常生活
JZ2021030200675,complaint:JZ2021030200675,包含后果,outcome:影响居民出行
JZ2021030200675,entity:停车位,易感于,hidden:停车位少
JZ2021030200675,hidden:停车位少,导致,risk:影响日常生活
JZ2021030200675,event:空白,触发风险,risk:影响日常生活
JZ2021030200675,risk:影响日常生活,导致,outcome:影响居民出行
JZ2021030100198,complaint:JZ2021030100198,包含实体,entity:灭火器
JZ2021030100198,complaint:JZ2021030100198,包含隐患,hidden:未配备
JZ2021030100198,complaint:JZ2021030100198,包含事件,event:空白
JZ2021030100198,complaint:JZ2021030100198,包含风险,risk:火灾风险
JZ2021030100198,entity:灭火器,易感于,hidden:未配备
JZ2021030100198,hidden:未配备,导致,risk:火灾风险
JZ2021030100198,event:空白,触发风险,risk:火灾风险
JZ2021030100735,complaint:JZ2021030100735,包含实体,entity:广告
JZ2021030100735,complaint:JZ2021030100735,包含隐患,hidden:无人清理
JZ2021030100735,complaint:JZ2021030100735,包含事件,event:空白
JZ2021030100735,complaint:JZ2021030100735,包含风险,risk:影响日常生活
JZ2021030100735,entity:广告,易感于,hidden:无人清理
JZ2021030100735,hidden:无人清理,导致,risk:影响日常生活
JZ2021030100735,event:空白,触发风险,risk:影响日常生活
JZ2021030200783,complaint:JZ2021030200783,包含实体,entity:垃圾
JZ2021030200783,complaint:JZ2021030200783,包含隐患,hidden:无人清理
JZ2021030200783,complaint:JZ2021030200783,包含事件,event:空白
JZ2021030200783,complaint:JZ2021030200783,包含风险,risk:影响日常生活
JZ2021030200783,entity:垃圾,易感于,hidden:无人清理
JZ2021030200783,hidden:无人清理,导致,risk:影响日常生活
JZ2021030200783,event:空白,触发风险,risk:影响日常生活
JZ2021030300744,complaint:JZ2021030300744,包含实体,entity:墙
JZ2021030300744,complaint:JZ2021030300744,包含隐患,hidden:开墙打洞
JZ2021030300744,complaint:JZ2021030300744,包含事件,event:空白
JZ2021030300744,complaint:JZ2021030300744,包含风险,risk:影响日常生活
JZ2021030300744,entity:墙,易感于,hidden:开墙打洞
JZ2021030300744,hidden:开墙打洞,导致,risk:影响日常生活
JZ2021030300744,event:空白,触发风险,risk:影响日常生活
JZ2021030800379,complaint:JZ2021030800379,包含实体,entity:保温板
JZ2021030800379,complaint:JZ2021030800379,包含隐患,hidden:违建
JZ2021030800379,complaint:JZ2021030800379,包含事件,event:空白
JZ2021030800379,complaint:JZ2021030800379,包含风险,risk:易发生冲突
JZ2021030800379,entity:保温板,易感于,hidden:违建
JZ2021030800379,hidden:违建,导致,risk:易发生冲突
JZ2021030800379,event:空白,触发风险,risk:易发生冲突
JZ2021031200136,complaint:JZ2021031200136,包含实体,entity:道路
JZ2021031200136,complaint:JZ2021031200136,包含隐患,hidden:积水
JZ2021031200136,complaint:JZ2021031200136,包含事件,event:空白
JZ2021031200136,complaint:JZ2021031200136,包含风险,risk:影响出行
JZ2021031200136,entity:道路,易感于,hidden:积水
JZ2021031200136,hidden:积水,导致,risk:影响出行
JZ2021031200136,event:空白,触发风险,risk:影响出行
JZ2021031300182,complaint:JZ2021031300182,包含实体,entity:停车
JZ2021031300182,complaint:JZ2021031300182,包含隐患,hidden:停车秩序差
JZ2021031300182,complaint:JZ2021031300182,包含事件,event:空白
JZ2021031300182,complaint:JZ2021031300182,包含风险,risk:影响出行
JZ2021031300182,entity:停车,易感于,hidden:停车秩序差
JZ2021031300182,hidden:停车秩序差,导致,risk:影响出行
JZ2021031300182,event:空白,触发风险,risk:影响出行
热线-210304-041774,complaint:热线-210304-041774,包含实体,entity:店
热线-210304-041774,complaint:热线-210304-041774,包含隐患,hidden:堵路
热线-210304-041774,complaint:热线-210304-041774,包含事件,event:空白
热线-210304-041774,complaint:热线-210304-041774,包含风险,risk:影响日常生活
热线-210304-041774,complaint:热线-210304-041774,包含后果,outcome:车胎被炸爆
热线-210304-041774,entity:店,易感于,hidden:堵路
热线-210304-041774,hidden:堵路,导致,risk:影响日常生活
热线-210304-041774,event:空白,触发风险,risk:影响日常生活
热线-210304-041774,risk:影响日常生活,导致,outcome:车胎被炸爆
热线-210310-043457,complaint:热线-210310-043457,包含实体,entity:水井
热线-210310-043457,complaint:热线-210310-043457,包含隐患,hidden:异味严重
热线-210310-043457,complaint:热线-210310-043457,包含事件,event:空白
热线-210310-043457,complaint:热线-210310-043457,包含风险,risk:影响日常生活
热线-210310-043457,entity:水井,易感于,hidden:异味严重
热线-210310-043457,hidden:异味严重,导致,risk:影响日常生活
热线-210310-043457,event:空白,触发风险,risk:影响日常生活
热线-210311-022917,complaint:热线-210311-022917,包含实体,entity:水井
热线-210311-022917,complaint:热线-210311-022917,包含隐患,hidden:异味大
热线-210311-022917,complaint:热线-210311-022917,包含事件,event:空白
热线-210311-022917,complaint:热线-210311-022917,包含风险,risk:影响日常生活
热线-210311-022917,entity:水井,易感于,hidden:异味大
热线-210311-022917,hidden:异味大,导致,risk:影响日常生活
热线-210311-022917,event:空白,触发风险,risk:影响日常生活
热线-210312-039537,complaint:热线-210312-039537,包含实体,entity:井盖
热线-210312-039537,complaint:热线-210312-039537,包含隐患,hidden:气味严重
热线-210312-039537,complaint:热线-210312-039537,包含事件,event:空白
热线-210312-039537,complaint:热线-210312-039537,包含风险,risk:人身安全风险
热线-210312-039537,entity:井盖,易感于,hidden:气味严重
热线-210312-039537,hidden:气味严重,导致,risk:人身安全风险
热线-210312-039537,event:空白,触发风险,risk:人身安全风险
热线-210323-027305,complaint:热线-210323-027305,包含实体,entity:群租房
热线-210323-027305,complaint:热线-210323-027305,包含隐患,hidden:扰民
热线-210323-027305,complaint:热线-210323-027305,包含事件,event:空白
热线-210323-027305,complaint:热线-210323-027305,包含风险,risk:影响日常生活
热线-210323-027305,entity:群租房,易感于,hidden:扰民
热线-210323-027305,hidden:扰民,导致,risk:影响日常生活
热线-210323-027305,event:空白,触发风险,risk:影响日常生活
热线-210323-040120,complaint:热线-210323-040120,包含实体,entity:车棚
热线-210323-040120,complaint:热线-210323-040120,包含隐患,hidden:堆放
热线-210323-040120,complaint:热线-210323-040120,包含事件,event:空白
热线-210323-040120,complaint:热线-210323-040120,包含风险,risk:影响日常生活
热线-210323-040120,entity:车棚,易感于,hidden:堆放
热线-210323-040120,hidden:堆放,导致,risk:影响日常生活
热线-210323-040120,event:空白,触发风险,risk:影响日常生活
热线-210331-004848,complaint:热线-210331-004848,包含实体,entity:自来水
热线-210331-004848,complaint:热线-210331-004848,包含隐患,hidden:有颜色
热线-210331-004848,complaint:热线-210331-004848,包含事件,event:空白
热线-210331-004848,complaint:热线-210331-004848,包含风险,risk:影响日常生活
热线-210331-004848,entity:自来水,易感于,hidden:有颜色
热线-210331-004848,hidden:有颜色,导致,risk:影响日常生活
热线-210331-004848,event:空白,触发风险,risk:影响日常生活
网络-210323-030448,complaint:网络-210323-030448,包含实体,entity:隔离栅栏
网络-210323-030448,complaint:网络-210323-030448,包含隐患,hidden:无法进站
网络-210323-030448,complaint:网络-210323-030448,包含事件,event:空白
网络-210323-030448,complaint:网络-210323-030448,包含风险,risk:影响日常生活
网络-210323-030448,complaint:网络-210323-030448,包含后果,outcome:影响身体健康
网络-210323-030448,entity:隔离栅栏,易感于,hidden:无法进站
网络-210323-030448,hidden:无法进站,导致,risk:影响日常生活
网络-210323-030448,event:空白,触发风险,risk:影响日常生活
网络-210323-030448,risk:影响日常生活,导致,outcome:影响身体健康
JZ2021020900410,complaint:JZ2021020900410,包含实体,entity:非机动车
JZ2021020900410,complaint:JZ2021020900410,包含隐患,hidden:占道
JZ2021020900410,complaint:JZ2021020900410,包含事件,event:空白
JZ2021020900410,complaint:JZ2021020900410,包含风险,risk:影响出行
JZ2021020900410,entity:非机动车,易感于,hidden:占道
JZ2021020900410,hidden:占道,导致,risk:影响出行
JZ2021020900410,event:空白,触发风险,risk:影响出行
JZ2021021500100,complaint:JZ2021021500100,包含实体,entity:停车
JZ2021021500100,complaint:JZ2021021500100,包含隐患,hidden:停车秩序差
JZ2021021500100,complaint:JZ2021021500100,包含事件,event:空白
JZ2021021500100,complaint:JZ2021021500100,包含风险,risk:影响日常生活
JZ2021021500100,entity:停车,易感于,hidden:停车秩序差
JZ2021021500100,hidden:停车秩序差,导致,risk:影响日常生活
JZ2021021500100,event:空白,触发风险,risk:影响日常生活
JZ2021022500259,complaint:JZ2021022500259,包含实体,entity:停车
JZ2021022500259,complaint:JZ2021022500259,包含隐患,hidden:停车不规范
JZ2021022500259,complaint:JZ2021022500259,包含事件,event:空白
JZ2021022500259,complaint:JZ2021022500259,包含风险,risk:影响日常生活
JZ2021022500259,complaint:JZ2021022500259,包含后果,outcome:遮挡阳光
JZ2021022500259,entity:停车,易感于,hidden:停车不规范
JZ2021022500259,hidden:停车不规范,导致,risk:影响日常生活
JZ2021022500259,event:空白,触发风险,risk:影响日常生活
JZ2021022500259,risk:影响日常生活,导致,outcome:遮挡阳光
JZ2021022100333,complaint:JZ2021022100333,包含实体,entity:公路
JZ2021022100333,complaint:JZ2021022100333,包含隐患,hidden:堵车
JZ2021022100333,complaint:JZ2021022100333,包含事件,event:空白
JZ2021022100333,complaint:JZ2021022100333,包含风险,risk:影响出行
JZ2021022100333,entity:公路,易感于,hidden:堵车
JZ2021022100333,hidden:堵车,导致,risk:影响出行
JZ2021022100333,event:空白,触发风险,risk:影响出行
JZ2021022500354,complaint:JZ2021022500354,包含实体,entity:楼顶
JZ2021022500354,complaint:JZ2021022500354,包含隐患,hidden:脱落
JZ2021022500354,complaint:JZ2021022500354,包含事件,event:空白
JZ2021022500354,complaint:JZ2021022500354,包含风险,risk:人身安全风险
JZ2021022500354,entity:楼顶,易感于,hidden:脱落
JZ2021022500354,hidden:脱落,导致,risk:人身安全风险
JZ2021022500354,event:空白,触发风险,risk:人身安全风险
JZ2021030100297,complaint:JZ2021030100297,包含实体,entity:公交站牌
JZ2021030100297,complaint:JZ2021030100297,包含隐患,hidden:积水
JZ2021030100297,complaint:JZ2021030100297,包含事件,event:空白
JZ2021030100297,complaint:JZ2021030100297,包含风险,risk:影响出行
JZ2021030100297,entity:公交站牌,易感于,hidden:积水
JZ2021030100297,hidden:积水,导致,risk:影响出行
JZ2021030100297,event:空白,触发风险,risk:影响出行
JZ2021030500098,complaint:JZ2021030500098,包含实体,entity:共享单车
JZ2021030500098,complaint:JZ2021030500098,包含隐患,hidden:乱停放
JZ2021030500098,complaint:JZ2021030500098,包含事件,event:空白
JZ2021030500098,complaint:JZ2021030500098,包含风险,risk:影响出行
JZ2021030500098,entity:共享单车,易感于,hidden:乱停放
JZ2021030500098,hidden:乱停放,导致,risk:影响出行
JZ2021030500098,event:空白,触发风险,risk:影响出行
JZ2021030900116,complaint:JZ2021030900116,包含实体,entity:垃圾
JZ2021030900116,complaint:JZ2021030900116,包含隐患,hidden:不及时清理
JZ2021030900116,complaint:JZ2021030900116,包含事件,event:空白
JZ2021030900116,complaint:JZ2021030900116,包含风险,risk:影响日常生活
JZ2021030900116,entity:垃圾,易感于,hidden:不及时清理
JZ2021030900116,hidden:不及时清理,导致,risk:影响日常生活
JZ2021030900116,event:空白,触发风险,risk:影响日常生活
JZ2021030900142,complaint:JZ2021030900142,包含实体,entity:垃圾
JZ2021030900142,complaint:JZ2021030900142,包含隐患,hidden:无人清理
JZ2021030900142,complaint:JZ2021030900142,包含事件,event:空白
JZ2021030900142,complaint:JZ2021030900142,包含风险,risk:影响日常生活
JZ2021030900142,entity:垃圾,易感于,hidden:无人清理
JZ2021030900142,hidden:无人清理,导致,risk:影响日常生活
JZ2021030900142,event:空白,触发风险,risk:影响日常生活
JZ2021030900181,complaint:JZ2021030900181,包含实体,entity:违建
JZ2021030900181,complaint:JZ2021030900181,包含隐患,hidden:迟迟未拆除
JZ2021030900181,complaint:JZ2021030900181,包含事件,event:空白
JZ2021030900181,complaint:JZ2021030900181,包含风险,risk:影响日常生活
JZ2021030900181,entity:违建,易感于,hidden:迟迟未拆除
JZ2021030900181,hidden:迟迟未拆除,导致,risk:影响日常生活
JZ2021030900181,event:空白,触发风险,risk:影响日常生活
JZ2021030900203,complaint:JZ2021030900203,包含实体,entity:再生水井
JZ2021030900203,complaint:JZ2021030900203,包含隐患,hidden:结冰
JZ2021030900203,complaint:JZ2021030900203,包含事件,event:空白
JZ2021030900203,complaint:JZ2021030900203,包含风险,risk:影响出行
JZ2021030900203,entity:再生水井,易感于,hidden:结冰
JZ2021030900203,hidden:结冰,导致,risk:影响出行
JZ2021030900203,event:空白,触发风险,risk:影响出行
JZ2021030900213,complaint:JZ2021030900213,包含实体,entity:景区
JZ2021030900213,complaint:JZ2021030900213,包含隐患,hidden:无人管理
JZ2021030900213,complaint:JZ2021030900213,包含事件,event:空白
JZ2021030900213,complaint:JZ2021030900213,包含风险,risk:影响日常生活
JZ2021030900213,entity:景区,易感于,hidden:无人管理
JZ2021030900213,hidden:无人管理,导致,risk:影响日常生活
JZ2021030900213,event:空白,触发风险,risk:影响日常生活
JZ2021030900220,complaint:JZ2021030900220,包含实体,entity:狗粪
JZ2021030900220,complaint:JZ2021030900220,包含事件,event:空白
